PROP_TYPE|LIST_NO|LIST_AGENT|LIST_OFFICE|STATUS|LIST_PRICE|STREET_NO|STREET_NAME|UNIT_NO|TOWN_NUM|AREA|ZIP_CODE|LENDER_OWNED|PHOTO_COUNT|PHOTO_DATE|PHOTO_MASK|LD_TYPE|LOT_SIZE|ACRE
LD|70720254|K0002346|K95565|ACT|475000|351|Howard||406||01532|U|2|6/2/2010 1:34:00 PM|3|A|211042|4.84
LD|70721968|BB922701|BB6030|ACT|175000|Lot 68&48A|Kibbe Rd||574||01253|U|3|2/24/2012 11:30:00 AM|7|A|19602|0.45
LD|70723572|H3427008|H95001|ACT|169900|L-72|Selfridge Rd||469||01452|N|1|3/8/2008 11:44:00 AM|1|A|1672704|38.4
LD|70726915|TEAM0470|M95283|ACT|69900|Lot F|Crestview Dr.||867||01007|U|10|10/22/2009 7:28:00 PM|1023|A|40978|0.94
LD|70727927|BB801201|BB4767|ACT|275000|Lot 20|Elise Lane||157|NDA|02747|U|1|3/17/2008 11:37:00 AM|1|A|42294|0.97
LD|70728599|BB983340|BB2035|ACT|300000|02|Rod Way||175||02769|U|1|3/18/2008 11:34:00 AM|1|A|1528956|35.1
LD|70729947|K9500770|K01304|ACT|174900|54|Redstone Place||411||01564|U|6|3/21/2008 3:27:00 PM|63|A|39887|0.91
LD|70730507|K9500770|K01304|ACT|164900|3|Fitch Farm Road||411||01564|U|4|3/22/2008 10:59:00 AM|15|A|91059|2.09
LD|70731926|E0000JAL|E31301|ACT|89000|558|Orange Road||506||01378|U|4|2/29/2012 9:49:00 AM|15|A|182080|4.17
LD|70735270|BB923717|BB9039|ACT|79000|0|Prock Hill||575||01255|U|4|3/31/2008 4:22:00 PM|15|A|175111|4.01
LD|70735565|BB300194|BB8150|ACT|90000|m/L75-77|Rocky Woods St.||173||02780|N|1|4/23/2008 1:33:00 AM|1|A|261360|6
LD|70735700|BB923717|BB9039|ACT|259000|0|New Hartford &Prock Hill RD||575||01255|U|3|4/1/2008 10:15:00 AM|7|A|2047320|47
LD|70735867|BB300194|BB8150|ACT|130000|lot 2|Tremont St.||174||02764|N|1|4/8/2008 11:22:00 AM|1|A|35979|0.82
LD|70735873|BB300194|BB8150|ACT|130000|lot 3|Tremont St||174||02764|N|1|4/8/2008 11:23:00 AM|1|A|34848|0.8
LD|70736925|E0000DAM|E21001|ACT|375000|Lots 1-3|Florence Road||530||01060|U|1|4/2/2008 3:35:00 PM|1|A|582276|13.36
LD|70737023|BB902272|BB1390|ACT|499000|Lot 5|Matthew Lane||40|36D|02452|U|2|10/22/2009 4:30:00 PM|3|A|10321|0.23
LD|70737024|BB902272|BB1390|ACT|499000|Lot 4|Matthew Lane||40|36D|02452|U|2|10/22/2009 4:29:00 PM|3|A|10331|0.23
LD|70740313|M0000576|AC0644|ACT|275000|0|Chester Road||834||01008|N|2|8/2/2009 12:53:00 PM|3|A|3264822|74.95
LD|70741051|C0002019|C95187|ACT|1600000|00|Parish Road||354||01833|U|2|4/9/2008 2:46:00 PM|3|A|1881356|43.19
LD|70742526|BB923717|BB9039|ACT|42000|Lot 4|Beetle RD||835||01034|U|1|4/11/2008 1:18:00 PM|1|A|105850|2.43
LD|70742532|BB923717|BB9039|ACT|33900|Lot 2|Colebrook River Rd||835||01034|U|1|4/11/2008 1:24:00 PM|1|A|187308|4.3
LD|70742534|BB923717|BB9039|ACT|42000|Lot 3|Colebrook River Rd||835||01034|U|1|4/11/2008 1:28:00 PM|1|A|99752|2.29
LD|70743067|H3284312|H95146|ACT|185000|0|Ann Lee Road||452||01451|U|7|8/28/2008 10:43:00 AM|127|A|65775|1.51
LD|70743825|H3427008|H95001|ACT|64900|L-1|Willliamsville Rd||469||01452|N|1|4/14/2008 2:58:00 PM|1|A|80002|1.83
LD|70743959|BB902597|BB9581|ACT|900000|Lot 80A|Dedham Street||53||02030|U|4|4/14/2008 4:38:00 PM|15|A|87555|2
LD|70745570|A0000147|BB2685|ACT|385000|lot 19|Holly Road||208||02050|N|2|8/21/2008 2:13:00 PM|3|A|47579|1.09
LD|70746391|E0000PMG|E21201|ACT|399900|Lot 1|Turkey Hill Rd||530|FLO|01062|U|1|4/18/2008 10:43:00 AM|1|A|574120|13.18
LD|70747994|A8001863|A48101|ACT|6950000|Lots 1-4|Prestige Way||213||02360|U|1|4/22/2008 8:46:00 AM|1|C|174240|4
LD|70749245|FR000761|FR0177|ACT|2900000|29|Morton Ave||157|NDA|02747|U|5|11/25/2008 3:43:00 PM|31|A|544500|12.5
LD|70751092|BB981186|K95610|ACT|119888|Lot 2|Depot Road||431||01540|U|2|4/27/2008 4:22:00 PM|3|A|30370|0.69
LD|70751226|E0000BJH|E21201|ACT|599000|0|Stonegate Drive||859||01075|U|1|4/28/2008 9:34:00 AM|1|A|152692|3.5
LD|70752926|M0000508|M15000|ACT|109900|Lot 205|Jerad Drive||856||01056|N|6|2/2/2011 11:01:00 AM|63|A|52846|1.21
LD|70752961|M0000508|M15000|ACT|109900|Lot 4|Jerad Drive||856||01056|U|7|5/10/2010 6:22:00 PM|127|A|43604|1
LD|70754422|K9502145|K95551|ACT|49000|xxx|North Road||416||01037|U|4|5/4/2008 12:28:00 PM|15|A|216493|4.96
LD|70755355|BB802540|BB4519|ACT|265000|Lot 5|Gibbons Lane||38||02093|U|1|11/12/2010 1:39:00 PM|3|A|30000|0.68
LD|70755361|BB802540|BB4519|ACT|285000|LOT 6|Gibbons Lane||38||02093|U|2|5/3/2008 4:51:00 PM|3|A|40000|0.91
LD|70757391|D0005493|D81001|ACT|250000|Lot 9|Harvard Road||380||01460|U|1|5/12/2008 11:29:00 AM|1|A|43560|1
LD|70757393|D0005493|D81001|ACT|250000|Lot 10|Harvard Road||380||01460|U|1|5/12/2008 11:29:00 AM|1|A|65340|1.5
LD|70757530|H4486530|BB8122|PCG|35000|Lot 496|Briggs Road||471||01366|N|2|5/7/2008 3:38:00 PM|3|A|43560|1
LD|70759753|D0005493|D81001|ACT|525000|Lot 4|Chestnut lane||380||01460|U|1|5/12/2008 11:35:00 AM|1|A|364161|8.36
LD|70759757|D0005493|D81001|ACT|600000|Lot 5|Chestnut Lane||380||01460|U|1|5/12/2008 11:37:00 AM|1|A|885139|20.32
LD|70759965|E0000WRP|BB8172|ACT|76000|0|Millers Falls Road||507||01360|U|1|5/12/2008 2:16:00 PM|1|A|491487|11.28
