PROP_TYPE|LIST_NO|LIST_AGENT|LIST_OFFICE|STATUS|LIST_PRICE|STREET_NO|STREET_NAME|UNIT_NO|TOWN_NUM|AREA|ZIP_CODE|LENDER_OWNED|PHOTO_COUNT|PHOTO_DATE|PHOTO_MASK|MF_TYPE|NO_UNITS|NO_FLOORS|TOTAL_RMS|GARAGE_SPACES|PARKING_SPACES|LOT_SIZE|ACRE|SQUARE_FEET
MF|71260184|H2343939|H95055|EXT|409900|683|Main St||451||01740|N|16|8/12/2011 2:56:00 PM|65535|B|3|3|12|0|6|87120|2|2665
MF|71260205|M0001479|M95400|EXT|169900|12-14|Sullivan Street||3050||06082|N|5|7/12/2011 11:19:00 AM|31|F|2|3|14|0|2|7024|0.16|3512
MF|71260213|H2368291|H24001|ACT|138600|340|Park Street||465||01440|N|19|7/12/2011 11:23:00 AM|524287|G|2|2|8|0|6|7530|0.17|1440
MF|71260610|FR000244|AC0589|ACT|249900|649|Walnut St||161||02720|N|24|7/12/2011 9:12:00 PM|16777215|A|2|3|15|0|4|3049|0.07|3362
MF|71260627|TM003743|K01220|ACT|139900|18|Sycamore Street||444||01527|N|18|7/12/2011 9:57:00 PM|262143|J|3|3|15|2|4|30738|0.71|2577
MF|71260965|G8000943|AC1223|ACT|150000|51|Portland St||364||01843|N|2|7/25/2011 12:22:00 AM|3|B|3|3|15|0|4|3268|0.08|3420
MF|71261373|BB902843|BB5126|ACT|174900|415|Danforth Street||173||02780|N|2|7/20/2011 1:08:00 PM|3|J|3|3|11|0|5|7841|0.18|1840
MF|71261537|H9500142|H24001|ACT|50000|66-68|Maple Street||466||01475|N|1|7/14/2011 1:05:00 PM|1|G|2|2|8|1|3|10018|0.23|2098
MF|71261585|FR800547|BB9372|ACT|174900|132|Tallman Street||156||02746|N|1|7/14/2011 1:49:00 PM|1|O|5|3|23|0|0|0.09|0|4700
MF|71261603|FR800547|BB9372|ACT|189900|220|Phillips Avenue||156||02746|N|1|7/14/2011 2:05:00 PM|1|O|6|3|24|0|0|0.13|0|4344
MF|71261607|FR800547|BB9372|ACT|149900|67|Howard St.||156||02746|N|1|7/14/2011 3:02:00 PM|1|B|3|3|12|0|0|2400|0.06|2246
MF|71261635|FR800547|BB9372|ACT|154900|56-58|Beetle St.||156||02746|N|1|7/14/2011 2:44:00 PM|1|B|3|3|15|0|0|2400|0.06|3240
MF|71261644|FR800547|BB9372|ACT|152500|60|Beetle St.||156||02746|N|1|7/14/2011 3:00:00 PM|1|B|3|3|14|0|0|2400|0.06|2828
MF|71261842|C8002960|C99997|ACT|90000|11|UNION PLACE||312||01902|N|1|8/1/2011 12:21:00 PM|1|G|2|3|10|0|0|3384|0.08|1820
MF|71261930|H3341294|H12900|ACT|269900|288|George Hill Rd||453|18Q|01523|N|16|7/21/2011 12:55:00 PM|65535|G|2|1|9|2|4|38333|0.88|2638
MF|71262105|K0002105|K01294|ACT|289900|148|Highland St||401||01609|N|1|7/15/2011 1:40:00 PM|1|B|3|3|13|0|2|4734|0.11|2770
MF|71262109|K0002105|K01294|ACT|289900|2|Schussler Rd||401||01609|N|1|7/15/2011 1:44:00 PM|1|B|3|3|15|0|2|5709|0.13|3006
MF|71262246|BB902491|BB1650|ACT|225000|138|Hecla St||436||01569|N|24|7/15/2011 4:19:00 PM|16777215|B|3|3|13|0|6|21344|0.49|3883
MF|71262352|BB805978|AC0209|ACT|290000|14|Linvale Ter||1|003|02126|N|15|10/21/2011 8:34:00 PM|32767|A|2|2|12|0|2|9583|0.22|1764
MF|71262884|TM000584|BB9063|ACT|380000|76|Bellevue St||1|002|02125|N|3|9/24/2011 8:32:00 PM|7|J|3|3|15|0|0|2468|0.06|3342
MF|71262959|M9500772|M01800|ACT|147900|970|Elm St||850||01089|N|5|7/18/2011 1:46:00 PM|31|A|2|2|8|0|4|13983|0.32|1747
MF|71262962|BB954756|BB5474|ACT|469000|153|Fifth||13||02141|N|17|7/18/2011 4:09:00 PM|131071|G|2|3|9|0|3|1842|0.04|1454
MF|71263132|H1388972|H12700|ACT|219000|106|Mill St||453||01523|N|17|8/31/2011 8:46:00 AM|131071|A|2|2|11|0|6|87120|2|2960
MF|71263279|NB113513|NB4837|ACT|159000|67|Piedmont St||401||01610|N|5|7/19/2011 1:22:00 AM|31|J|3|3|24|0|3|2537|0.06|3517
MF|71263766|TM000959|AC0322|ACT|349999|39|Couture Drive||426||01083|N|30|7/19/2011 6:43:00 PM|1073741823|A|2|2|10|0|20|614941|14.12|3120
MF|71263983|FR000197|FR0150|ACT|125000|38|Freedom St||161||02724|N|2|7/27/2011 6:13:00 PM|3|B|3|3|15|0|0|4356|0.1|3120
MF|71264698|FR000696|FR0186|ACT|575000|13|Main Street||151||02739|N|12|7/21/2011 2:05:00 PM|4095|J|3|3|15|0|6|16498|0.38|3599
MF|71264912|CT006685|A95640|ACT|279000|60|Oak St||173||02780|N|11|7/21/2011 8:08:00 PM|2047|B|3|3|16|2|3|6969|0.16|2655
MF|71265153|CT002825|K95310|ACT|229000|22|Bazeley Ave||437||01529|N|27|7/27/2011 3:14:00 PM|134217727|G|2|3|11|0|5|3914|0.09|2275
MF|71265200|K8001780|K95416|ACT|259900|21-23|Old Faith Road||409||01545|N|12|1/31/2012 9:05:00 PM|4095|A|2|2|15|1|6|6000|0.14|3185
MF|71265260|C8606677|F33001|ACT|109900|22|Jackson St||352||01832|N|1|7/25/2011 3:27:00 PM|1|A|2|3|11|0|3|5613|0.13|2094
MF|71265328|BB922948|BB0975|PCG|144900|15|Bow St||437||01529|N|7|7/22/2011 4:06:00 PM|127|A|2|2|12|0|4|29383|0.67|2182
MF|71265413|J0001001|J01200|ACT|165000|455|Oldfield Rd||857||01013|U|15|7/22/2011 7:29:00 PM|32767|D|2|2|9|0|4|6098|0.14|1728
MF|71265518|C2547066|C66300|ACT|259900|15|Whittier||312||01905|U|1|7/23/2011 11:53:00 AM|1|B|3|3|15|0|0|2500|0.06|3330
MF|71265615|BB805319|AC0525|ACT|389900|21-25|Stetson Street||181||02324|N|10|8/14/2011 6:50:00 PM|1023|B|3|3|19|0|7|5000|0.11|3996
MF|71265790|K0002568|K01330|ACT|199900|27|PARKER  ST.||868||01082|N|3|7/25/2011 9:00:00 AM|7|C|4|3|19|0|0|5000|0.11|2822
MF|71266302|FR800588|AC0117|ACT|179900|415|Summer Street||156|NNO|02740|N|18|7/26/2011 7:26:00 AM|262143|G|2|3|10|0|1|3573|0.08|2504
MF|71266338|FR000264|FR0212|ACT|279900|1653|Acushnet Ave||156|NNO|02746|N|3|7/26/2011 9:55:00 AM|7|B|3|3|12|0|6|3923|0.09|3464
MF|71266475|BB923792|BB3297|ACT|285900|120|TENTH ST.||2010||02906|N|12|7/31/2011 12:27:00 PM|4095|G|2|3|15|2|3|4356|0.1|2956
MF|71266479|BB910479|BB9372|ACT|95000|15|Washburn Street||156||02740|N|13|7/29/2011 1:25:00 PM|8191|B|3|3|15|0|0|2685|0.06|2890
MF|71266557|BB981046|B95159|ACT|489097|97|Washington Street||312||01902|N|17|7/26/2011 3:11:00 PM|131071|P|5|3|20|0|6|5282|0.12|3825
MF|71266759|BB911017|BB9603|ACT|219900|171|Main Street||1185||03079|N|5|7/26/2011 8:52:00 PM|31|G|2|3|9|0|6|0.46|0|2949
MF|71266915|BB982338|AC0529|ACT|389000|61|Crescent Ave||22||02150|N|6|7/27/2011 11:06:00 AM|63|C|4|3|13|0|2|3425|0.08|2987
MF|71266937|CT001273|AC0398|ACT|149900|38-40|Thayer St||441||01757|N|3|7/27/2011 11:26:00 AM|7|J|3|3|12|0|5|6500|0.15|3234
MF|71267080|C9500063|C95283|ACT|1000000|150|Central Avenue||345|SBE|01952|N|11|7/27/2011 2:37:00 PM|2047|G|2|3|13|0|4|10018|0.23|4050
MF|71267095|C9500063|C95283|ACT|325000|133|Cable Avenue||345|SBE|01952|N|14|7/27/2011 2:59:00 PM|16383|F|2|2|10|0|4|3789|0.09|2327
MF|71267129|C9500063|C95283|ACT|1200000|120-122|North End Boulevard||345|SBE|01952|N|18|7/27/2011 3:32:00 PM|262143|C|4|3|20|2|4|11020|0.25|4034
MF|71267290|K8000475|K01222|ACT|145000|16|Dean St||428||01550|N|10|7/27/2011 9:06:00 PM|1023|C|4|2|16|0|5|6752|0.16|3000
MF|71267413|A0002487|A29301|ACT|449900|719-721|Commercial St||193|WYH|02189|N|7|7/28/2011 9:58:00 AM|127|B|3|3|19|0|6|8918|0.2|5332
MF|71267504|C9500328|C95059|ACT|150000|24|Portland Street||352||01830|N|1|7/28/2011 11:53:00 AM|1|A|2|2|12|0|6|6011|0.13|3071
MF|71267620|B9500028|B92101|ACT|369900|8|Jones St||14||02149|N|15|7/28/2011 2:10:00 PM|32767|B|3|3|15|0|2|3885|0.09|3546
MF|71267673|C4766215|C95221|ACT|259900|29|Myrtle Square||326||01930|N|9|7/28/2011 3:08:00 PM|511|B|3|3|15|0|8|6175|0.14|2700
MF|71268170|H8328041|H95001|ACT|189900|16|Walnut Ct||454||01453|N|12|7/29/2011 3:31:00 PM|4095|A|2|2|10|0|4|4352|0.1|2280
MF|71268438|H8000329|H10900|ACT|99900|395|Parker St||465||01440|N|5|7/30/2011 11:50:00 AM|31|A|2|2|8|0|4|0.34|0|2245
MF|71268668|C9404668|C95221|ACT|349900|3|Powell Ct||326|EGL|01930|N|13|12/15/2011 9:30:00 AM|8191|B|3|3|14|0|4|9400|0.22|3078
MF|71268763|K9500502|K01171|ACT|239900|5|Crown St||432||01570|N|16|8/1/2011 9:57:00 AM|65535|L|4|2|12|0|8|14614|0.34|3158
MF|71268904|CT001273|AC0398|ACT|239900|366|Broadway||15||02148|N|2|8/1/2011 12:35:00 PM|3|A|2|1|11|0|1|5600|0.13|2653
MF|71268959|BB902159|AC1112|EXT|569000|25|Church St||50||01760|N|1|8/8/2011 11:13:00 PM|1|E|6|3|18|0|10|5401|0.12|3672
MF|71269120|J0001440|J95112|ACT|184900|35-37|Reed Ave||857|07W|01020|N|26|8/1/2011 4:25:00 PM|67108863|A|2|3|11|2|2|7504|0.17|2208
MF|71269381|FR001134|FR0046|ACT|125000|463|Pine St||161||02720|N|1|8/2/2011 9:27:00 AM|1|E|7|0|21|2|0|3920|0.09|4363
MF|71269491|BB980015|BB3351|ACT|259900|12|Westcott St||1|002|02124|N|1|8/2/2011 11:31:00 AM|1|A|2|3|14|2|2|4050|0.09|2891
MF|71269501|K8001256|K95535|ACT|195000|191|S Main Street||420|18X|01611|N|5|8/31/2011 2:20:00 PM|31|B|3|2|12|3|10|0.38|0|2731
MF|71269521|BB700280|A95280|ACT|287017|17|Easterbrooks Ave||2006||02809|N|2|8/2/2011 11:55:00 AM|3|A|2|2|8|1|8|8000|0.18|1800
MF|71269582|K8000578|AC1028|ACT|349900|301|Boston Rd||434||01590|N|13|8/2/2011 12:52:00 PM|8191|G|2|2|9|1|6|309126|7.1|3024
MF|71269601|B0388163|B13001|ACT|399900|34|Wilson Ave||303||01864|N|15|8/2/2011 1:10:00 PM|32767|B|3|2|13|3|10|20038|0.46|3144
MF|71269665|H8000032|BB8150|ACT|248000|18|Beach St||155||02719|N|14|8/2/2011 2:22:00 PM|16383|J|3|3|14|0|2|4280|0.1|2783
MF|71269694|CT002658|K95535|ACT|235500|38/40|Morse Ave||868||01082|N|3|8/11/2011 10:35:00 AM|7|L|4|2|20|2|8|30800|0.71|5574
MF|71269734|FR000244|AC0589|ACT|360000|118|Dighton Ave||2003||02871|N|20|8/2/2011 3:30:00 PM|1048575|A|2|2|10|2|4|10000|0.23|2020
MF|71269770|BB901996|BB2640|ACT|1850000|186|Naples Rd||12|06Y|02446|N|2|8/2/2011 4:21:00 PM|3|J|3|4|16|0|8|4701|0.11|5216
MF|71269859|A0002722|NB2765|ACT|499000|21|Pond St||193||02190|N|7|8/2/2011 8:16:00 PM|127|E|5|2|17|0|10|25265|0.58|4144
MF|71269867|CT000625|B50201|ACT|499900|19|Charles Street Place||15||02148|N|8|2/18/2012 2:55:00 PM|255|F|2|3|10|0|2|4438|0.1|2000
MF|71269909|M0000276|M64100|ACT|159900|21|Hill Street||850||01089|N|26|8/2/2011 10:48:00 PM|67108863|A|2|3|11|0|0|2750|0.06|1840
MF|71270534|TEAM0178|M95354|ACT|489000|158|Maple Street||15|WTE|02148|N|10|8/4/2011 6:59:00 AM|1023|B|3|3|14|0|3|5488|0.12|2582
MF|71270585|D0000255|AC1959|ACT|127800|632|Bridge||372||01850|N|12|8/4/2011 1:31:00 PM|4095|A|2|3|9|0|2|2716|0.06|2467
MF|71270647|BB802152|BB5763|ACT|269850|38-40|Lawrence St||46||01702|N|12|8/4/2011 11:09:00 AM|4095|G|2|2|10|0|4|7405|0.17|2372
MF|71271049|BB980063|BB0125|EXT|144000|788|Bedford Street||161||02721|N|16|8/24/2011 9:16:00 PM|65535|B|3|3|15|0|0|2614|0.06|3294
MF|71271106|BB804096|BB5675|ACT|499000|20|Shawmut Ave||52||01778|U|17|8/5/2011 7:13:00 AM|131071|A|2|3|10|0|5|9147|0.21|2110
MF|71271455|CT003084|AC0249|ACT|429876|182|Grant Ave||16||02155|N|18|8/8/2011 2:53:00 PM|262143|A|2|2|10|0|2|3200|0.07|1938
MF|71271586|BB805835|NB5054|ACT|329900|59|Essex St||22||02150|N|1|8/5/2011 8:36:00 PM|1|B|3|3|14|0|0|4476|0.1|3114
MF|71271632|TEAM0370|AC0898|ACT|260000|36|Boyd St||420||01611|N|20|8/6/2011 8:01:00 AM|1048575|B|3|3|18|2|6|7000|0.16|4653
MF|71271668|G9503020|G80025|ACT|319900|71-73|Canada St||372||01852|N|3|8/13/2011 5:22:00 PM|7|F|2|2|8|0|4|7507|0.17|2600
MF|71272061|BB901886|BB5991|ACT|439000|48|Neil St||405||01752|N|14|8/8/2011 10:32:00 AM|16383|C|4|2|15|0|6|6204|0.14|3962
MF|71272090|A0002481|BB8125|ACT|469900|374|Pearl Street||192||02072|N|5|8/8/2011 11:14:00 AM|31|M|4|2|14|0|16|30330|0.7|3274
MF|71272197|TM002123|M95389|ACT|166000|89|Mechanic||862||01085|N|7|8/8/2011 1:51:00 PM|127|B|3|2|15|0|5|10293|0.24|3300
MF|71272218|BB806195|BB3191|ACT|189900|159|Maple St||67||02703|N|1|8/8/2011 2:08:00 PM|1|A|2|2|12|0|10|10042|0.23|3553
MF|71272292|H8000003|H95111|PCG|198500|111|Hamilton St||454||01453|N|14|8/8/2011 3:48:00 PM|16383|G|2|3|9|0|10|13477|0.31|1766
MF|71272380|BB807771|A95380|ACT|199900|192|E Spring St||191||02322|N|4|8/8/2011 6:15:00 PM|15|G|2|2|10|2|6|13503|0.31|2126
MF|71272426|K9502132|K95491|ACT|249900|296|Main||428||01507|N|13|12/22/2011 3:13:00 PM|8191|P|5|3|12|0|0|1786|0.04|5010
MF|71272678|G8002001|K95580|ACT|120000|-50|Allen Place||455||01420|N|1|8/9/2011 1:34:00 PM|1|B|3|3|17|0|0|1493|0.03|2760
MF|71272786|TEAM0443|FR0045|ACT|79900|179|Haffards St||161||02723|N|2|8/9/2011 3:54:00 PM|3|G|2|2|10|0|1|6098|0.14|2073
MF|71272797|FR001134|FR0046|ACT|259000|13 & 23|Mason Street||161||02723|N|1|8/9/2011 4:01:00 PM|1|E|6|3|24|0|0|3486|0.08|5034
MF|71272851|BB922137|AC1295|ACT|109900|12|Foster St||460||01463|Y|11|8/9/2011 4:37:00 PM|2047|F|2|2|11|0|4|6720|0.15|1895
MF|71273070|D0001075|BB9571|ACT|659000|27-29|Broadway Street||379||01886|N|2|8/10/2011 9:14:00 AM|3|B|3|2|13|0|3|27247|0.63|2107
MF|71273331|CT003888|AC1163|ACT|65000|41-43|Norfolk Street||3065||06112|N|1|8/10/2011 3:00:00 PM|1|A|2|2|5|1|3|3600|0.08|2900
MF|71273523|M9501023|M95209|ACT|268900|42|Bliss St||850||01089|N|7|8/10/2011 8:18:00 PM|127|E|6|3|24|0|6|6200|0.14|6924
MF|71273560|BB302375|BB9805|ACT|145900|115|Blackstone Street||438||01504|N|12|2/27/2012 7:06:00 PM|4095|A|2|2|9|2|8|29700|0.68|2230
MF|71273702|K8002103|K95624|ACT|99000|76|Ash St.||465||01440|N|4|8/11/2011 11:24:00 AM|15|G|2|1|8|0|4|6970|0.16|1800
MF|71273845|K7000033|NB3090|ACT|975000|250-252|Broadway||13||02139|N|20|8/12/2011 10:13:00 AM|1048575|B|3|3|17|1|6|4074|0.09|3445
MF|71273862|BB901721|BB5857|ACT|279900|408|Washington Street||67|SAT|02703|N|1|8/11/2011 2:26:00 PM|1|A|2|2|8|1|5|11212|0.26|1776
MF|71273870|K0001350|K95416|ACT|225000|142|Main Street||453||01523|N|24|8/11/2011 2:56:00 PM|16777215|A|2|3|10|0|10|14375|0.33|2007
MF|71273889|FR000264|FR0212|ACT|169900|598|2nd St||161||02721|N|3|8/11/2011 3:01:00 PM|7|B|3|3|19|0|2|4356|0.1|3749
MF|71273890|FR000264|FR0212|ACT|169900|6|Branch St||161||02724|N|5|8/11/2011 3:01:00 PM|31|A|2|2|6|0|0|4356|0.1|1152
MF|71273891|FR800563|FR0212|ACT|149900|493|Summer St||156||02740|N|5|8/11/2011 3:01:00 PM|31|B|3|3|18|0|2|3000|0.07|3738
MF|71273946|FR800620|BB9372|ACT|175000|337-339|Sawyer St||156||02746|N|11|8/12/2011 11:43:00 AM|2047|A|2|2|8|11|10|13800|0.32|1364
MF|71274147|BB800132|AC0094|EXT|230000|91|Alley Road||152||02770|Y|24|8/11/2011 11:44:00 PM|16777215|A|2|2|10|2|6|30056|0.69|2104
MF|71274149|K0002170|K95087|ACT|329877|20-22|Toronita Avenue||401||01605|N|9|8/12/2011 12:08:00 AM|511|F|2|3|11|2|6|8490|0.19|2945
MF|71274399|BB300235|BB9593|ACT|372000|41|Second St.||50||01760|N|4|8/12/2011 2:10:00 PM|15|G|2|3|9|0|4|32234|0.74|1814
MF|71274602|BB806440|M95383|ACT|524900|372|Metropolitan Ave||1|008|02131|N|4|8/12/2011 8:26:00 PM|15|A|2|2|14|0|4|10890|0.25|2576
MF|71274786|TM005072|AC0766|ACT|299900|71-73|Brook St||364|NLW|01841|N|1|8/13/2011 8:00:00 PM|1|B|3|3|15|0|6|5449|0.12|4104
MF|71274942|BB904874|BB2685|ACT|349000|217|Pleasant street||185||02301|N|1|8/14/2011 10:06:00 PM|1|P|5|3|21|0|10|11326|0.26|3800
MF|71274950|M0000405|M80012|ACT|250000|42|Bridge Street||865||01057|N|16|8/18/2011 8:36:00 PM|65535|B|3|3|14|0|6|10890|0.25|3231
MF|71275032|BB802644|BB4131|ACT|165900|54|Kingman Ave||185||02302|Y|1|8/15/2011 10:58:00 AM|1|A|2|1|9|0|4|10454|0.24|1940
MF|71275215|K9503252|K95624|ACT|69000|29|Mechanic St||466||01475|N|16|8/15/2011 2:33:00 PM|65535|B|3|2|12|4|6|11325|0.26|2768
MF|71275411|FR800611|FR0233|ACT|325000|319/327|Cambridge St||161||02721|N|7|8/15/2011 8:10:00 PM|127|B|3|3|16|1|6|0.21|0|4000
MF|71275972|BB808104|NB1840|ACT|359000|69|Woodford St||1|06B|02125|N|15|8/16/2011 10:08:00 PM|32767|B|3|3|16|1|1|2617|0.06|3939
MF|71276030|H3427008|H95001|ACT|339900|255-263|Green Street||404||01510|N|6|3/7/2012 10:10:00 AM|63|O|5|3|15|0|8|7387|0.17|5204
MF|71276179|BB807681|BB6860|ACT|189000|15|Rose Glen St||192||02072|N|3|8/17/2011 12:19:00 PM|7|G|2|2|9|0|4|6700|0.15|2173
MF|71276385|M8001089|AC1494|ACT|50000|807-809|Dwight St||858||01040|N|1|8/17/2011 4:01:00 PM|1|G|2|2|11|0|2|3227|0.07|2450
MF|71276613|A0000133|A98039|ACT|499000|23|1St Ave||202|SHL|02066|N|14|8/19/2011 2:07:00 PM|16383|G|2|2|14|2|6|10000|0.23|2388
MF|71276641|F00258FH|F25801|ACT|425000|52|Howard||352||01830|N|1|8/22/2011 2:08:00 PM|1|O|5|3|22|0|10|9200|0.21|4200
MF|71276800|BB922649|BB5884|ACT|349000|31-39|Memory Lane||1224||03598|N|1|8/18/2011 2:05:00 PM|1|O|5|1|15|0|5|112820|2.59|0
MF|71276837|BB922649|BB5884|PCG|209900|34|Anna Drive||1224||03598|N|15|8/18/2011 2:50:00 PM|32767|A|1|2|10|1|6|153331|3.52|2882
MF|71276928|H1501140|BB8122|ACT|171900|64|Prospect St||472||01331|N|5|8/18/2011 4:45:00 PM|31|B|3|3|15|2|6|11070|0.25|3614
MF|71277217|A8002231|A80015|ACT|629000|60|Houston Ave||28||02186|N|5|8/24/2011 2:55:00 PM|31|B|3|2|13|0|6|6000|0.14|2402
MF|71277813|BB954042|AC1495|ACT|489900|587|Beech St||1|008|02131|N|9|8/22/2011 12:27:00 AM|511|A|2|2|12|2|4|4634|0.11|2523
MF|71277867|C8342504|C67300|ACT|349900|1-3|Garden Street||319|RLS|01915|N|18|8/24/2011 1:52:00 PM|262143|D|2|3|12|0|4|6913|0.16|3288
MF|71277909|BB980005|BB4587|ACT|39000|45 49|Waverly St||2010||02907|N|6|8/22/2011 11:08:00 AM|63|G|2|2|10|0|6|8055|0.18|2325
MF|71278432|CT000625|B50201|ACT|415000|9|Salem Street||307||01880|N|2|8/23/2011 12:04:00 PM|3|B|3|3|10|2|4|9750|0.22|2400
MF|71278475|H4309951|H12900|ACT|208200|91-93|Marshall St.||455||01420|N|2|8/23/2011 3:55:00 PM|3|E|5|3|19|0|2|7852|0.18|4154
MF|71278540|CT000625|B50201|ACT|439900|11|Salem Street||307||01880|N|10|8/23/2011 2:18:00 PM|1023|C|4|3|11|0|4|10700|0.25|3187
MF|71278806|K9502157|AC1395|ACT|155000|30|Northridge St||401||01603|N|1|8/24/2011 8:38:00 AM|1|G|2|2|10|2|4|5220|0.12|2152
MF|71278917|H7520747|H95154|ACT|25000|20|Walnut St||455||01420|N|1|8/24/2011 11:45:00 AM|1|B|3|3|15|0|0|3959|0.09|3378
MF|71278928|H7520747|H95154|ACT|169900|136|Clarendon St||455||01420|N|24|8/24/2011 11:57:00 AM|16777215|C|4|3|19|0|0|3500|0.08|3937
MF|71279052|CT003219|A95540|ACT|354876|65|Union St||195|QUC|02169|N|10|8/29/2011 11:28:00 AM|1023|A|2|2|10|0|6|6370|0.15|1845
MF|71279159|BB802338|BB0465|EXT|239900|17|Tewksbury St||21||02152|N|29|8/24/2011 5:23:00 PM|536870911|A|2|2|8|0|4|3920|0.09|1562
MF|71279263|E0000MAS|E24601|ACT|358900|89|Main St||535|40Q|01096|N|12|2/5/2012 8:16:00 AM|4095|J|3|3|12|0|6|130000|2.98|2500
MF|71279318|C9500240|C95059|ACT|162500|29|Elm St||346||01913|N|1|8/25/2011 9:40:00 AM|1|A|2|2|10|0|0|3049|0.07|1907
MF|71279447|BB904239|K80013|ACT|135000|42|Burncoat St||401||01605|N|5|8/25/2011 12:59:00 PM|31|A|2|2|14|2|5|6534|0.15|2925
MF|71279555|CT000135|AC0049|ACT|150000|721|County Street||156|NCE|02740|N|7|8/25/2011 3:37:00 PM|127|A|2|3|10|3|4|6969|0.16|2629
MF|71279642|FR000012|FR0046|ACT|299999|14|Foster Street||161||02721|N|28|11/29/2011 2:11:00 PM|268435455|A|2|2|10|0|3|3485|0.08|4160
MF|71279848|FR800690|FR0033|ACT|114900|21|Butler St||161||02724|N|13|9/2/2011 2:34:00 PM|8191|G|2|2|10|0|4|6098|0.14|1404
MF|71279866|NB900694|BB4721|ACT|859000|221-235|Wachusett Street||1|007|02130|N|14|10/25/2011 2:18:00 PM|16383|B|3|3|15|0|3|12349|0.28|4349
MF|71279919|M7000080|NB4348|ACT|599000|711-713|Main St||451||01740|N|7|8/26/2011 1:55:00 PM|127|P|5|2|10|0|4|16000|0.37|4700
MF|71279940|M8000124|M95340|ACT|399900|1475|Dwight St||858|16S|01040|N|12|8/26/2011 2:22:00 PM|4095|E|6|3|29|2|2|5500|0.13|6384
MF|71279988|M8000124|M95340|ACT|199900|74-76|Newton St||858||01040|N|3|8/26/2011 3:40:00 PM|7|E|6|3|30|0|0|4620|0.11|7632
MF|71280006|BB902021|BB7520|ACT|750000|23|Pearl||192||02072|N|3|8/26/2011 4:00:00 PM|7|Q|15|3|18|0|6|15100|0.35|6000
MF|71280026|M8000124|M95340|ACT|525000|859|Main St||858|16X|01040|N|6|8/26/2011 4:44:00 PM|63|E|13|5|64|0|0|6250|0.14|13893
MF|71280074|M8000124|M95340|ACT|450000|148-154|High St||858||01040|N|3|8/26/2011 6:58:00 PM|7|E|10|4|26|0|0|3920|0.09|11342
MF|71280075|M8000124|M95340|ACT|399900|671-677|High||858||01040|N|1|8/26/2011 7:02:00 PM|1|E|7|3|12|0|0|6300|0.14|10216
MF|71280368|BB810763|C00126|BOM|289900|14|La Grange Ter||312|LWE|01902|N|6|8/30/2011 8:54:00 AM|63|B|3|3|15|0|3|2488|0.06|3312
MF|71280380|H5528238|H95003|ACT|199900|351-353|Summer St||455||01420|N|1|9/1/2011 5:51:00 PM|1|G|2|3|12|0|4|4000|0.09|3108
MF|71280512|BB904044|BB5045|ACT|549000|160|Brush Hill Rd.||28||02186|N|22|3/17/2012 12:04:00 PM|4194303|A|2|3|16|2|3|6117|0.14|3990
MF|71280703|BB805525|BB9924|ACT|199001|20|Russell Avenue||67||02703|N|7|2/11/2012 11:38:00 AM|127|A|2|2|7|1|6|18477|0.42|2000
MF|71280819|BB911140|BB6013|ACT|350000|43|Pleasant St||195|QUC|02169|N|3|8/30/2011 12:11:00 PM|7|J|3|3|10|0|6|7437|0.17|1592
MF|71280862|NB110825|AC0565|ACT|299000|53|Morton St||161||02720|N|3|8/30/2011 1:17:00 PM|7|E|7|3|33|0|6|6621|0.15|5502
MF|71280879|NB110825|AC0565|ACT|199900|1699|N Main St||161||02720|N|3|8/30/2011 1:38:00 PM|7|E|5|3|14|1|2|3702|0.08|3455
MF|71280891|K0002958|K01272|ACT|289900|40|Upper Church St.||416||01037|N|11|2/15/2012 4:04:00 PM|2047|F|2|2|9|2|8|31363|0.72|2928
MF|71281012|TM003061|K95344|ACT|150000|27|Arlington St||401||01604|N|28|8/30/2011 5:23:00 PM|268435455|J|3|3|18|0|0|4500|0.1|3951
MF|71281116|BB300879|BB2945|ACT|419900|28-30|Orleans St||1|019|02128|N|11|9/7/2011 12:18:00 PM|2047|B|3|3|10|0|5|2346|0.05|2627
MF|71281315|BB980005|BB4587|PCG|79900|19|Bend St||2010||02909|Y|9|8/31/2011 3:46:00 PM|511|B|3|2|12|1|15|9117|0.21|4080
MF|71281399|M9501109|J02000|ACT|170000|53|Chestnut Street||857||01013|N|18|8/31/2011 5:13:00 PM|262143|A|2|2|14|0|8|8276|0.19|2776
MF|71281439|CT004913|BB0440|ACT|249900|77|East St.||67||02703|N|2|8/31/2011 7:47:00 PM|3|B|3|2|10|2|10|3590|0.08|2216
MF|71281451|FR000747|BB0440|ACT|274900|859|South Main Street||67||02703|N|15|8/31/2011 8:56:00 PM|32767|J|3|3|13|0|6|18290|0.42|2402
MF|71281495|CT002825|K95310|ACT|169900|35|E Hartford Ave||436||01569|N|7|9/1/2011 7:41:00 AM|127|G|2|2|11|0|6|6970|0.16|2465
MF|71281497|CT002825|K95310|ACT|179900|51|Douglas St||436||01569|N|30|3/15/2012 3:50:00 PM|1073741823|A|2|2|11|0|6|6534|0.15|1960
MF|71281938|FR000161|FR0045|ACT|198000|225|State Ave||2002||02878|N|1|9/1/2011 9:38:00 PM|1|A|2|2|8|1|4|12197|0.28|1560
