PROP_TYPE|LIST_NO|LIST_AGENT|LIST_OFFICE|STATUS|LIST_PRICE|STREET_NO|STREET_NAME|UNIT_NO|TOWN_NUM|AREA|ZIP_CODE|LENDER_OWNED|PHOTO_COUNT|PHOTO_DATE|PHOTO_MASK|MF_TYPE|NO_UNITS|NO_FLOORS|TOTAL_RMS|GARAGE_SPACES|PARKING_SPACES|LOT_SIZE|ACRE|SQUARE_FEET
MF|70962402|BB802540|BB4519|ACT|469900|531|South Street||38||02093|N|5|8/17/2009 10:35:00 PM|31|B|3|2|12|0|6|86249|1.98|2498
MF|70965438|BB810367|BB5884|ACT|119900|4|Bell Street||1083||03581|U|4|8/25/2009 11:14:00 AM|15|A|2|2|8|1|5|6969|0.16|1051
MF|70974653|TEAM0305|M80012|ACT|127900|16-18|Malden||839|840|01108|N|9|9/15/2009 10:44:00 AM|511|A|2|3|14|0|3|4800|0.11|2857
MF|70981673|BB922649|BB5884|ACT|249000|17|Alpine Street||1083||03581|U|2|9/28/2009 4:11:00 PM|3|A|2|2|9|2|2|17859|0.41|1877
MF|70990902|BB810367|BB5884|ACT|115000|94|Mason Street||1021||03570|U|2|10/19/2009 10:26:00 AM|3|B|3|1|10|1|10|11325|0.26|2683
MF|70999600|D0002743|D49801|ACT|649900|110|Branch Street||372||01851|N|25|11/9/2009 4:19:00 PM|33554431|E|6|3|29|0|5|0|0|7052
MF|71002942|M0000576|AC0644|ACT|179900|246-248|Ashley Ave||850||01089|N|3|1/27/2010 12:44:00 PM|7|A|2|2|2|0|3|21535|0.49|2156
MF|71004075|BB809142|BB5542|ACT|222000|15|Middle Street||155||02719|N|1|11/21/2009 8:48:00 PM|1|A|2|2|9|0|2|2774|0.06|2264
MF|71004579|TEAM0204|G80034|ACT|217000|139 AB|Boston Rd||866||01069|N|8|11/23/2009 8:38:00 PM|255|D|2|2|8|0|6|75794|1.74|2078
MF|71004704|BB806567|FR0195|ACT|239900|290|Collette St.||156||02746|N|1|12/4/2009 10:23:00 AM|1|E|5|3|19|0|4|8326|0.19|4914
MF|71005317|A0002162|BB2685|ACT|349999|769|ocean||208|OCB|02050|N|3|11/27/2009 2:38:00 PM|7|J|3|2|11|0|12|19268|0.44|3373
MF|71014960|G8000295|G61700|ACT|42000|838-840|Worthington Street||839||01105|N|5|1/8/2010 11:04:00 AM|31|D|2|3|14|0|0|6682|0.15|3690
MF|71014992|FR000171|FR0013|ACT|449900|83|QUARRY STREET||161||02721|U|5|1/5/2010 2:49:00 PM|31|E|6|3|30|2|0|8276|0.18|6552
MF|71019440|H4385476|H17100|ACT|109900|1768|Main St||472||01331|N|1|5/17/2010 3:58:00 PM|1|A|2|2|10|2|2|8775|0.2|2544
MF|71020435|C0386211|C95098|ACT|329900|53|Elliott Street||319||01915|N|3|7/15/2010 12:10:00 PM|7|C|4|3|14|0|0|1742|0.03|3164
MF|71028459|BB954349|BB8070|ACT|62900|230-232|White St||839||01108|N|1|2/4/2010 6:59:00 PM|1|A|2|2|10|0|2|5001|0.11|2744
MF|71031795|C0001904|C95278|ACT|425000|23|Ingalls Terrace||317||01907|N|6|2/12/2010 1:21:00 AM|63|J|3|3|12|1|3|5706|0.13|2503
MF|71032046|TEAM0187|C95234|ACT|650000|73|Monument Avenue||317||01907|N|10|4/5/2010 11:43:00 AM|1023|A|2|3|18|3|3|15000|0.34|4653
MF|71032859|E9500361|M80028|ACT|195000|481-483|Montague Road||502||01072|U|11|2/18/2010 6:13:00 PM|2047|A|2|2|8|0|4|76230|1.75|2142
MF|71038896|NB900032|NB2905|ACT|249900|8|Main Street||210||02364|N|7|2/28/2010 9:22:00 AM|127|A|2|2|8|0|6|6960|0.16|1694
MF|71047002|K8001448|K80036|ACT|159900|448|Hamilton St||428||01550|N|2|3/15/2010 11:26:00 AM|3|B|3|3|15|2|6|10800|0.25|3078
MF|71049690|FR000769|FR0218|ACT|149000|472|S 2nd St||156|NSO|02744|U|7|3/18/2010 7:08:00 PM|127|A|2|2|12|0|2|3839|0.09|2464
MF|71050227|A9501734|AC0314|ACT|584000|27-29|Thomas Circle||107||02540|N|21|3/20/2012 11:45:00 AM|2097151|A|2|2|12|0|2|0|0|2304
MF|71050236|A8000179|A95322|ACT|499000|551|Beach||20|REV|02151|N|3|3/19/2010 3:25:00 PM|7|P|5|3|20|0|4|5484|0.12|5088
MF|71051914|H9462032|H24001|ACT|115000|155-157|Mill Street||466||01475|N|10|5/25/2011 4:55:00 PM|1023|D|2|2|12|0|2|12763|0.29|2189
MF|71052516|K9500512|K95310|ACT|259900|159-161|Linwood Street||436||01569|N|8|3/24/2010 12:03:00 PM|255|E|6|4|22|0|9|7841|0.18|4470
MF|71052590|BB902844|BB8192|ACT|159900|17|Pine St||173||02780|N|1|3/24/2010 2:50:00 PM|1|A|2|2|10|0|4|9583|0.22|2292
MF|71052613|FR000690|FR0186|EXT|399900|283 - 287|Sawyer Street||156|NNO|02746|N|7|3/24/2010 1:32:00 PM|127|E|7|3|21|4|35|22910|0.52|6791
MF|71054939|K9500512|K95310|ACT|349900|89|Sutton Street||435||01534|N|14|3/29/2010 8:23:00 AM|16383|E|6|2|19|3|9|17860|0.41|4500
MF|71057200|CT000282|C76600|ACT|599000|88 & 92|Wilson Rd||314|22T|01908|U|9|9/2/2010 3:08:00 PM|511|F|2|2|10|1|4|6229|0.14|1974
MF|71059157|K9500512|K95310|ACT|229900|26|Butler Street||438||01504|N|8|4/13/2010 6:43:00 AM|255|E|5|2|15|0|9|9140|0.2|3480
MF|71062568|BB985184|BB533|ACT|279000|158|Willow St C-081/Multi010||1132||03103|N|1|4/11/2010 9:54:00 AM|1|O|5|3|15|0|5|4300|0.09|4338
MF|71064090|BB981220|BB6640|ACT|105000|53|Plain St||185||02301|N|1|4/13/2010 6:07:00 PM|1|A|2|2|10|0|4|7841|0.18|2512
MF|71064621|A8000318|A95273|ACT|249900|64|Camp St||119|WYA|02673|N|3|4/15/2010 11:21:00 AM|7|A|2|2|10|0|4|40000|0.92|3234
MF|71064785|A8000228|AC0316|ACT|449000|11|Burgess St||102|SAG|02561|N|17|4/15/2010 2:47:00 PM|131071|C|4|2|22|0|8|21780|0.5|5632
MF|71070089|E0000DGV|E95074|ACT|95000|5-7|Hayes Avenue||511||01301|N|1|4/21/2011 8:02:00 PM|1|B|3|3|11|0|2|7670|0.17|2299
MF|71071587|C9500506|C95065|ACT|139900|64|Hancock St||352||01832|N|2|4/29/2010 12:24:00 PM|3|A|2|2|10|0|2|3850|0.09|1854
MF|71073735|M8000461|M95224|ACT|104500|409|Union St||839||01105|N|9|4/30/2010 3:00:00 PM|511|A|2|2|12|0|0|11866|0.27|3647
MF|71074367|NB115236|NB5294|ACT|254999|46|Appleton St||185||02301|N|10|10/14/2010 6:27:00 PM|1023|A|2|2|12|0|6|0|0|2544
MF|71074879|E0000MEM|E24501|ACT|199000|2-4|Berkeley Street||539||01027|U|8|5/4/2010 1:09:00 PM|255|A|2|2|14|0|4|3485|0.08|2576
MF|71075893|BB800317|BB9282|ACT|149900|76|Highland St||405||01752|N|3|5/5/2010 1:16:00 PM|7|E|5|3|16|0|0|21223|0.49|2400
MF|71076016|TEAM0380|AC0392|ACT|249900|12|East Collins St||316||01970|N|9|5/5/2010 3:28:00 PM|511|G|2|3|8|1|4|2178|0.05|2106
MF|71083064|G0001220|G95022|ACT|1199999|61-67B|Water St||362||01845|U|2|5/19/2010 12:59:00 PM|3|E|14|3|30|0|10|10019|0.23|6642
MF|71084276|TM000959|AC0322|ACT|59900|11|Whitcomb St||432||01570|N|30|5/21/2010 10:13:00 AM|1073741823|A|2|2|16|1|6|7920|0.18|3452
MF|71087262|BB600121|BB0285|ACT|278900|65|Broad||68||02760|N|6|5/27/2010 5:30:00 PM|63|B|3|3|14|0|4|7582|0.17|2731
MF|71088074|K0002361|K01220|ACT|189900|75|Irving St.||36||02054|N|16|6/14/2010 1:15:00 PM|65535|A|2|2|6|0|4|7405|0.17|1056
MF|71088804|C2466122|C95268|ACT|685000|28|Mount Pleasant Ave||329||01938|N|4|6/2/2010 7:12:00 PM|15|E|6|3|22|2|12|13939|0.32|5340
MF|71091684|FR000165|FR0050|ACT|190000|549|Ridge St||161||02724|N|1|6/7/2010 11:44:00 AM|1|A|2|2|12|0|3|5227|0.12|1750
MF|71091686|FR000165|FR0050|ACT|234000|83|Cottage St||161||02721|N|1|6/7/2010 11:44:00 AM|1|B|3|3|15|0|2|5663|0.13|3978
MF|71091687|FR000165|FR0050|ACT|214000|967|Middle St||161||02721|N|1|6/7/2010 11:45:00 AM|1|B|3|3|15|0|0|3049|0.07|3137
MF|71092362|M0000538|AC0504|ACT|139000|3|Laurel Hill Rd||870||01081|N|14|6/8/2010 12:03:00 PM|16383|A|2|2|9|0|4|21780|0.5|1664
MF|71095805|K0002255|K95398|ACT|180000|59-65|West St||428||01550|N|8|6/16/2010 3:38:00 PM|255|E|6|2|24|0|6|6021|0.14|2981
MF|71096425|NB110825|AC0565|ACT|345000|163-175|Haffards St||161||02720|N|2|6/16/2010 6:47:00 AM|3|E|9|3|40|0|6|7000|0.16|7803
MF|71097868|BB985184|BB533|ACT|424900|16|Martin St, C033/Multi002||1055||03038|N|1|6/18/2010 11:34:00 AM|1|E|8|2|12|0|8|10454|0.24|3060
MF|71101071|H5528238|H95003|ACT|99000|259|Milk St||455||01420|N|1|6/24/2010 6:37:00 PM|1|A|2|2|10|0|2|6400|0.15|2581
MF|71102463|H0308309|H21400|ACT|289900|30|Rockland St||455||01420|N|5|7/14/2010 4:44:00 PM|31|L|3|3|14|0|6|2825|0.06|2673
MF|71104425|BB904725|BB9956|BOM|399000|146-146A|Atlantic St||195|NQU|02171|N|4|2/2/2012 10:43:00 AM|15|A|2|2|10|0|4|6920|0.16|2208
MF|71104546|H8000583|H95126|ACT|299000|34|N Main St||473||01364|N|8|4/4/2011 4:49:00 PM|255|E|0|3|0|0|15|19800|0.45|19532
MF|71104777|K9001907|K95368|ACT|349700|254|RICE AVE.||406||01532|N|4|7/5/2010 6:32:00 PM|15|G|2|2|12|2|6|43124|0.98|2296
MF|71108059|E0000EHC|M95332|ACT|429000|462|Main St||529||01038|N|12|7/12/2010 1:20:00 PM|4095|E|5|2|30|2|20|43560|1|9142
MF|71108206|FR000036|FR0056|ACT|346500|66|Bogle St||161||02723|N|6|9/17/2010 3:42:00 PM|63|E|8|3|30|0|0|10150|0.23|6372
MF|71110522|FR000998|BB9372|ACT|93000|83|Rounds St.||156|NWE|02740|N|3|7/16/2010 3:21:00 PM|7|A|2|2|12|0|0|3528|0.08|2576
MF|71112495|BB982902|BB9987|ACT|179900|713-R|Somerset Avenue||173||02780|N|6|7/22/2010 3:14:00 PM|63|A|2|2|11|2|6|61420|1.41|1945
MF|71117205|BB805306|BB9700|ACT|190000|9|Middle Street Ct||40||02451|N|1|8/1/2010 11:16:00 AM|1|A|2|2|8|0|4|3270|0.07|1969
MF|71119892|H4486530|BB8122|ACT|169900|98|Newton Street||472||01331|N|17|8/10/2010 3:14:00 PM|131071|A|2|3|12|0|4|9000|0.2|2800
MF|71120060|FR000006|FR0160|ACT|499000|275-281|Blackstone Street||161||02721|N|1|8/10/2010 3:14:00 PM|0|E|7|3|31|3|10|13895|0.31|7000
MF|71120625|BB801956|BB5474|ACT|3750000|8-28|Lexington Terrace||40||02452|N|29|8/13/2010 11:18:00 PM|536870911|P|28|0|0|0|40|60486|1.38|0
MF|71125639|A8000366|NB4967|ACT|250000|65|Gladstone St||1|019|02128|N|1|8/20/2010 10:27:00 AM|0|A|2|2|10|0|0|5227|0.12|2532
MF|71125803|BB903150|BB5297|ACT|299900|33|Mulberry St||67||02703|N|11|8/19/2010 3:14:00 PM|49|C|4|2|12|0|6|5000|0.11|2187
MF|71126530|M8000849|M95406|ACT|70000|19|Northampton Ave||839|843|01109|N|8|8/21/2010 1:58:00 PM|23|A|2|2|12|0|4|6586|0.15|2703
MF|71126545|TEAM0278|K95467|ACT|335000|1077|Main St||420||01524|N|10|5/29/2011 9:44:00 AM|38|A|2|2|6|2|10|9530|0.21|2736
MF|71127218|C4346093|C95098|ACT|450000|10|Thorndike Steet||319||01915|N|25|9/19/2010 11:39:00 AM|302|C|4|3|20|0|8|10885|0.24|5560
MF|71127255|B8000399|B95162|ACT|950000|84-88|Main Street||362|DTW|01845|N|30|8/24/2010 1:19:00 AM|439|E|8|3|23|0|11|8712|0.2|6461
MF|71127305|C0002086|C75000|ACT|309000|18|Fayette Street||319||01915|N|8|8/24/2010 10:14:00 AM|28|G|2|3|12|0|4|4700|0.1|2794
MF|71127687|TEAM0443|FR0045|ACT|129900|423|Vale Street||161||02724|N|1|8/24/2010 7:36:00 PM|2|B|3|3|12|0|1|2608|0.05|2421
MF|71127689|TEAM0443|FR0045|ACT|129900|1189|Dwelly Street||161||02724|N|1|8/24/2010 7:44:00 PM|2|B|3|3|12|1|3|3332|0.07|2421
MF|71127970|M8000468|M15000|ACT|169900|40|Benjamin St||853||01028|N|13|10/19/2011 11:46:00 PM|8191|A|2|2|9|1|4|27000|0.62|1500
MF|71128138|C2547066|C66300|ACT|799000|43|Boston St||316||01970|U|1|8/25/2010 5:32:00 PM|2|Q|0|3|21|0|0|2614|0.06|5514
MF|71128336|TM003742|G80039|ACT|160000|135|E.Haverhill||364||01841|N|1|8/27/2010 3:22:00 PM|2|A|2|2|12|0|2|10850|0.24|4422
MF|71129055|TM005072|AC0766|ACT|109900|2-4|Warren St||364|NLW|01841|N|1|8/27/2010 2:29:00 PM|2|A|2|2|9|0|7|3290|0.08|1780
MF|71130171|BB810367|BB5884|ACT|339900|331|Pleasant Street||1021||03570|N|24|8/31/2010 11:19:00 AM|276|P|11|3|36|3|3|6534|0.15|9003
MF|71130224|G7000059|AC0639|ACT|299900|2-6|Alden Court||364||01841|N|2|8/31/2010 12:26:00 PM|5|E|6|3|19|0|5|4791|0.11|2604
MF|71131565|BB300278|BB3411|ACT|359900|323|Village St||35||02053|N|10|5/11/2011 11:46:00 AM|1023|A|2|3|13|3|10|25221|0.58|3376
MF|71131848|G0001961|G46000|ACT|229900|460|Prospect St.||365||01844|N|10|11/1/2010 6:18:00 PM|1023|B|3|3|10|0|4|3570|0.08|3192
MF|71133744|M9502517|M95392|EXT|45000|24-26|Kensington Ave.||839|840|01108|N|7|9/8/2010 4:07:00 PM|23|A|2|3|14|0|4|5382|0.12|2910
