PROP_TYPE|LIST_NO|LIST_AGENT|LIST_OFFICE|STATUS|LIST_PRICE|STREET_NO|STREET_NAME|UNIT_NO|TOWN_NUM|AREA|ZIP_CODE|LENDER_OWNED|PHOTO_COUNT|PHOTO_DATE|PHOTO_MASK|RN_TYPE|NO_ROOMS|NO_BEDROOMS|NO_FULL_BATHS|NO_HALF_BATHS|MASTER_BATH|PARKING_SPACES|LOT_SIZE|SQUARE_FEET
RN|71324417|FR001208|FR0227|ACT|575|371|4th|3 East|161||02720||7|1/6/2012 10:16:00 AM|127|D|4|2|1|0|N|1|0.13|750
RN|71324475|BB808648|AC1161|ACT|4000|35|Fairfield|3|1|101|02116||6|1/6/2012 11:10:00 PM|63|B|4|2|1|1|Y|0|1000|1000
RN|71324516|M8000148|NB1813|ACT|1800|517|Ideal Lane|402|856||01056||9|1/6/2012 12:53:00 PM|511|C|5|3|2|1|Y|2|99999999|1404
RN|71324550|A8001580|BB3061|ACT|950|316|Broadway Street|3|161||02721||4|1/6/2012 1:59:00 PM|15|D|6|4|1|0|N|1|9583|1200
RN|71324557|C8000856|C95900|ACT|900|20|Mt. Pleasant|1|327||01966||1|1/6/2012 1:45:00 PM|1|D|3|1|1|0||1|0|600
RN|71324571|A8001580|BB3061|ACT|1000|316|Broadway Street|1|161||02721||4|1/6/2012 2:11:00 PM|15|D|6|4|1|0|N|1|9583|1200
RN|71324589|A0002013|A05307|ACT|2800|25|Orchard Hill Dr|1|213|27F|02360||18|1/6/2012 2:32:00 PM|262143|A|8|4|2|1|Y|8|59135|2832
RN|71324614|NB112918|NB3571|ACT|950|196|Main Street|3|102|BBY|02532||5|1/6/2012 2:55:00 PM|31|E|3|1|1|0|N|2|12000|900
RN|71324687|H9500201|H10900|ACT|1000|87|Graham Street|3|454||01453||6|1/6/2012 4:07:00 PM|63|D|6|3|1|0|N|2|15000|1448
RN|71324715|B9500190|B99271|ACT|4000|30|Sunset Rd|2|17||02144||13|1/6/2012 4:40:00 PM|8191|D|8|5|1|1|N|0|3957|2000
RN|71324733|BB801064|AC0080|ACT|11500|TH9|Union Wharf|9|1|106|02109||12|1/18/2012 1:20:00 PM|4095|B|8|3|2|1|Y|1|2300|2300
RN|71324889|TEAM0293|C95247|ACT|1500|64|Eastern Point Rd|1|326|EGL|01930||4|1/7/2012 4:46:00 PM|15|A|10|9|10|0||6|17000|5000
RN|71324902|A0001453|A14007|ACT|1650|4|Gunners Exchange Rd|4|213||02360||13|1/30/2012 9:22:00 PM|8191|A|5|3|1|0|N|2|1.01|1144
RN|71324904|C8001561|C95261|ACT|1199|508|Sherman|16|23||02021||7|1/7/2012 5:33:00 PM|127|D|4|1|1|0|N|2|1000|899
RN|71324913|H8000624|H12900|ACT|1995|23|Overlook|0|464||01473||12|2/1/2012 10:24:00 AM|4095|A|9|4|2|1|Y|4|759251|2700
RN|71324924|BB803082|BB5092|ACT|1350|223|Neponset Valley Pkwy|2|1|05Q|02136||8|1/7/2012 7:44:00 PM|255|B|5|2|1|0||0|10454|2844
RN|71324969|K8000965|K95633|ACT|1000|131|MAIN STREET|1|431||01540||1|1/17/2012 3:21:00 PM|1|D|4|2|1|0||10|0.63|1050
RN|71324986|BB902334|BB1315|ACT|1500|35|HERON STREET|2|1||02132||12|1/8/2012 1:38:00 PM|4095|D|6|3|1|0|N|2|4996|1400
RN|71325028|M9502520|AC1494|ACT|1395|366|Leverett Rd|0|502||01072||4|1/8/2012 5:33:00 PM|15|A|6|3|1|1|N|3|43560|1276
RN|71325188|A9502641|A19401|ACT|1100|69|Pilgrim Ave|1|117|36M|02571||7|1/9/2012 10:48:00 AM|127|A|4|2|1|0|N|2|0.09|720
RN|71325291|H6568345|NB1994|ACT|650|6|High|3|460||01463||11|1/9/2012 1:53:00 PM|2047|D|3|1|1|0|N|2|20000|500
RN|71325303|FR700024|FR0046|ACT|200|109|Ash|1|161||02724||7|1/9/2012 1:36:00 PM|127|D|5|3|1|0||1|5663|1100
RN|71325327|BB801003|BB9013|ACT|4700|226|Winter Street|226|57||02493||14|1/9/2012 2:07:00 PM|16383|A|8|4|3|0|Y|4|68809|2132
RN|71325353|A0000346|A12901|ACT|1400|73|Broad Reach|T145C|193||02191||1|1/9/2012 2:33:00 PM|1|C|3|1|1|0|N|1|999|550
RN|71325355|FR800092|FR0046|ACT|750|317|Hanover St.|1|161||02720||1|1/9/2012 2:31:00 PM|1|D|3|1|1|0||1|0|800
RN|71325418|BB302364|BB5804|ACT|1100|59|Frairy St|108|27||02052||8|1/10/2012 8:35:00 PM|255|D|5|2|1|0|N|2|138520|1080
RN|71325419|BB302364|BB5804|ACT|1000|59|Frairy St|207|27||02052||7|1/10/2012 8:37:00 PM|127|D|4|1|1|0|N|2|138520|600
RN|71325553|H8000624|H12900|ACT|1600|2078|N Main St|0|453||01523||3|1/11/2012 10:15:00 AM|7|A|7|3|2|0||4|23087|1648
RN|71325565|K8001904|K95578|PCG|925|121|Bailey St|F51|401|TAT|01602||11|2/16/2012 7:19:00 AM|2047|C|5|2|1|0|N|2|0|877
RN|71325567|BB805141|AC1998|ACT|3500|7|Westchester Drive|7|303||01864||12|1/9/2012 9:11:00 PM|4095|A|10|4|3|1|Y|6|41818|3900
RN|71325603|CT005566|K95416|ACT|775|1-A|Pearl Street|5|432||01570||11|1/9/2012 11:41:00 PM|2047|D|4|2|1|0|N|2|38687|0
RN|71325665|A8000508|A95364|ACT|900|11|Channel Street|0|151|20X|02739||11|1/10/2012 9:26:00 AM|2047|A|3|2|1|0||3|3485|480
RN|71325705|A8000247|A01801|ACT|1150|18|Forest Ave|3|213||02360||2|3/14/2012 12:08:00 PM|3|C|6|2|1|0|N|2|0.19|1100
RN|71325721|NB112371|NB3120|ACT|1425|550|Washington St|212|194||02184||1|1/10/2012 11:04:00 AM|1|D|4|1|1|0||3|0|936
RN|71325736|BB300434|BB1115|EXT|1695|93|Benson Street|House|180||02346||22|1/10/2012 11:25:00 AM|4194303|A|7|2|2|0|Y|6|1.84|1456
RN|71325769|BB800010|BB9655|ACT|350|888|Western Ave|1B|312||01905||3|1/10/2012 12:50:00 PM|7|B|1|0|1|0||1|0|200
RN|71325787|BB804961|AC0188|ACT|700|16.5|Central ave|1|14||02149||10|1/10/2012 12:58:00 PM|1023|D|3|0|1|0||0|0|650
